id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,displayName,image_path
12884,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Spykar Men Helmet Grey T-Shirts,data\subset\images\12884.jpg
28844,Men,Apparel,Topwear,Tshirts,Charcoal,Summer,2012.0,Casual,Proline Men Charcoal T-shirt,data\subset\images\28844.jpg
2091,Men,Apparel,Topwear,Tshirts,Maroon,Fall,2010.0,Sports,ADIDAS Mens ESS 3S Polo T-shirt,data\subset\images\2091.jpg
10993,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Inkfruit Men Tea Kwon Do Grey Tshirts,data\subset\images\10993.jpg
3779,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Status Quo Men's Black Polo T-shirt,data\subset\images\3779.jpg
33304,Boys,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Gini and Jony Boys Pack of 2 T-shirts,data\subset\images\33304.jpg
2743,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Classic Polo Men's White T-shirt,data\subset\images\2743.jpg
2847,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,Mr.Men Men's Is There More Love Purple T-shirt,data\subset\images\2847.jpg
10465,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Flying Machine Men Paisley Purple Tshirts,data\subset\images\10465.jpg
7749,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Indigo Nation Men Young Lords Purple T-shirt,data\subset\images\7749.jpg
51370,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Spykar Men Black T-shirt,data\subset\images\51370.jpg
37532,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Madagascar3 Infant Boys Light Blue T-Shirt,data\subset\images\37532.jpg
4209,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boy's Green Mickey On Skates Kidswear,data\subset\images\4209.jpg
2615,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Nike Black Bleed Blue T-shirt,data\subset\images\2615.jpg
31102,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Gini and jony Boys Printed Red T-shirt,data\subset\images\31102.jpg
6207,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Lee Men's Sheild White T-shirt,data\subset\images\6207.jpg
7817,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Proline Men Purple Striped Polo T-shirt,data\subset\images\7817.jpg
23973,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Peter England Men Purple Printed T-shirt,data\subset\images\23973.jpg
4371,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Mickey Men's Pluto Order Comic Charcoal T-shirt,data\subset\images\4371.jpg
3082,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Probase Men's Cartoon Navy T-shirt,data\subset\images\3082.jpg
24275,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Quiksilver Men Basic White T-shirt,data\subset\images\24275.jpg
28565,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Nike Men Air Bags Blue T-shirt,data\subset\images\28565.jpg
9783,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,ADIDAS Men Bnce Hop White Tshirts,data\subset\images\9783.jpg
34410,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Freak Show Black T-shirt,data\subset\images\34410.jpg
57424,Women,Apparel,Topwear,Tshirts,Charcoal,Summer,2015.0,Casual,Angry Birds Women Charcoal T-shirt,data\subset\images\57424.jpg
38605,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Nike Men Yellow Eligible Athlete T-shirt,data\subset\images\38605.jpg
6551,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Men's Miler Singlet Blue T-shirt,data\subset\images\6551.jpg
2861,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Inkfruit Men's I am Hooked Green T-shirt,data\subset\images\2861.jpg
32768,Men,Apparel,Topwear,Tshirts,Grey,Spring,2013.0,Casual,Music Men Printed Grey T-shirt,data\subset\images\32768.jpg
42394,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Flying Machine Women Purple T-shirt,data\subset\images\42394.jpg
2092,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,ADIDAS Mens Polo Blue Polo T-shirt,data\subset\images\2092.jpg
23627,Men,Apparel,Topwear,Tshirts,White,Spring,2013.0,Casual,Beatles Men White Printed T-Shirt,data\subset\images\23627.jpg
40974,Boys,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Gini and Jony Boys United Green T-shirt,data\subset\images\40974.jpg
33935,Men,Apparel,Topwear,Tshirts,Turquoise Blue,Summer,2012.0,Casual,ADIDAS Men Polo Turquoise Blue T-Shirt,data\subset\images\33935.jpg
13438,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,United Colors of Benetton Men Solid Blue Polo T-shirts,data\subset\images\13438.jpg
31586,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Mark Taylor Men Printed Yellow T-shirt,data\subset\images\31586.jpg
44834,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Sports,Puma Men Black Training T-shirt,data\subset\images\44834.jpg
4315,Unisex,Apparel,Topwear,Tshirts,Brown,Summer,2011.0,Casual,Tantra Kid's Unisex Harappa Choco Brown Kidswear,data\subset\images\4315.jpg
34399,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Global Response Black T-shirt,data\subset\images\34399.jpg
15933,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Regent Polo Club Men Solid Blue Tshirt,data\subset\images\15933.jpg
35880,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Jungle Book Boys Royal White T-shirt,data\subset\images\35880.jpg
11356,Women,Apparel,Topwear,Tshirts,Peach,Fall,2011.0,Casual,United Colors Of Benetton Women Light Winter Peach Peach T-Shirt,data\subset\images\11356.jpg
2054,Men,Apparel,Topwear,Tshirts,Maroon,Winter,2010.0,Casual,Lee Men's Stone T-shirt,data\subset\images\2054.jpg
4402,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Billy Idol Men's Faceless Black T-shirt,data\subset\images\4402.jpg
5442,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Nike Women's Striped Polo Blue T-shirt,data\subset\images\5442.jpg
41752,Boys,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Doodle Boys Printed Yellow T-shirt,data\subset\images\41752.jpg
29157,Boys,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,United Colors of Benetton Boys Hopeland Pink T-shirt,data\subset\images\29157.jpg
44904,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Puma Men Navy Blue & White Graphic T-shirt,data\subset\images\44904.jpg
9974,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Men Black Polo Tshirts,data\subset\images\9974.jpg
7291,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011.0,Casual,Mickey Men's Donald Salute Star Brown T-shirt,data\subset\images\7291.jpg
24841,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2015.0,Casual,Wildcraft Women Yellow Printed T-shirt,data\subset\images\24841.jpg
19397,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,ADIDAS Men Solid Blue T-Shirt,data\subset\images\19397.jpg
31148,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys Printed White T-shirt,data\subset\images\31148.jpg
4359,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Free Authority Men's Melting Records Black T-shirt,data\subset\images\4359.jpg
23638,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,DC Comics Men Green T-shirt,data\subset\images\23638.jpg
13429,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2011.0,Casual,United Colors of Benetton Men Printed Maroon Tshirts,data\subset\images\13429.jpg
38152,Women,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Wildcraft Women White T-shirt,data\subset\images\38152.jpg
6063,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,UCB Men's Roundneck Take Good Look White T-shirt,data\subset\images\6063.jpg
27445,Women,Apparel,Topwear,Tshirts,Coffee Brown,Winter,2015.0,Casual,Jockey Women Coffee Brown T-shirt,data\subset\images\27445.jpg
2484,Women,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Puma Women Spagetti White Top,data\subset\images\2484.jpg
24029,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Locomotive Men Grey Printed T-shirt,data\subset\images\24029.jpg
3060,Men,Apparel,Topwear,Tshirts,Beige,Summer,2011.0,Casual,Tantra Men's Imagine Beige T-shirt,data\subset\images\3060.jpg
34314,Men,Apparel,Topwear,Tshirts,Orange,Summer,2012.0,Casual,Myntra Men Orange Urban T-shirt,data\subset\images\34314.jpg
25504,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Doodle Kids Boys Soccer Blue T-Shirt,data\subset\images\25504.jpg
14729,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Ed Hardy Men Don.Ed White Tshirts,data\subset\images\14729.jpg
40057,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,ADIDAS Men Blue Printed T-shirt,data\subset\images\40057.jpg
2307,Women,Apparel,Topwear,Tshirts,Purple,Fall,2010.0,Sports,Nike Women Purple Polo T-shirt,data\subset\images\2307.jpg
26479,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Puma Men Ferrari Black Polo T-shirt,data\subset\images\26479.jpg
11363,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Tshirt,data\subset\images\11363.jpg
38494,Boys,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Gini and Jony Boys United Green T-shirt,data\subset\images\38494.jpg
24911,Boys,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,United Colors of Benetton Kids Boys Grey Printed T-shirt,data\subset\images\24911.jpg
19581,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,United Colors of Benetton Men Printed White Tshirt,data\subset\images\19581.jpg
1762,Women,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Lotto Women Cathy Blue T-shirt,data\subset\images\1762.jpg
27444,Women,Apparel,Topwear,Tshirts,Black,Fall,2015.0,Casual,Jockey Women Black T-shirt,data\subset\images\27444.jpg
26246,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Proline Men Green Polo Tshirt,data\subset\images\26246.jpg
40153,Boys,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Surfs Up Black T-shirt,data\subset\images\40153.jpg
26261,Men,Apparel,Topwear,Tshirts,Beige,Summer,2013.0,Casual,Proline Men Beige Polo Tshirt,data\subset\images\26261.jpg
40267,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Scullers Men Striped White T-shirt,data\subset\images\40267.jpg
4780,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Sports,ADIDAS Women's Balance Pink T-shirt,data\subset\images\4780.jpg
3769,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Status Quo Men's Blue Polo T-shirt,data\subset\images\3769.jpg
3991,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Mr.Men Men's Wave Rider White T-shirt,data\subset\images\3991.jpg
11778,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Lee Men Solid Grey Tshirts,data\subset\images\11778.jpg
29019,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,ADIDAS Men Color Block Navy Blue T-shirt,data\subset\images\29019.jpg
7006,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,s.Oliver Men's Sound Rebels Black T-shirt,data\subset\images\7006.jpg
39003,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys Unit White T-shirt,data\subset\images\39003.jpg
3863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Wrangler Men's Authentic Embro Olive T-shirt,data\subset\images\3863.jpg
14727,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Ed Hardy Men Tiger Print Blue Tshirts,data\subset\images\14727.jpg
16913,Men,Apparel,Topwear,Tshirts,Charcoal,Fall,2011.0,Casual,Mr. Men Men Printed Grey Tshirt,data\subset\images\16913.jpg
10374,Women,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,United Colors of Benetton Women Solid Green T-shirt,data\subset\images\10374.jpg
36312,Boys,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Mr. Men Boys Mr. Rude Navy Blue T-shirt,data\subset\images\36312.jpg
36001,Boys,Apparel,Topwear,Tshirts,Orange,Summer,2012.0,Casual,Ben 10 Boys Crew Orange T-shirt,data\subset\images\36001.jpg
17497,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Classic Polo Men Stripes Grey Polo T-Shirt,data\subset\images\17497.jpg
8275,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Mr.Men Men's Coral Red T-shirt,data\subset\images\8275.jpg
3713,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Lee Men Green Polo T-shirt,data\subset\images\3713.jpg
2243,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,ADIDAS Men Stripe Polo White Polo T-shirt,data\subset\images\2243.jpg
16191,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Puma Men Graphic White TShirt,data\subset\images\16191.jpg
7450,Men,Apparel,Topwear,Tshirts,Cream,Summer,2011.0,Casual,Proline Men Cream Striped Polo T-shirt,data\subset\images\7450.jpg
46385,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,ADIDAS Men Green Printed T-shirt,data\subset\images\46385.jpg
8290,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Mr.Men Men's Navy Melange T-shirt,data\subset\images\8290.jpg
14101,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Flying Machine Men Printed White Tshirts,data\subset\images\14101.jpg
11008,Women,Apparel,Topwear,Tshirts,Cream,Fall,2011.0,Casual,Inkfruit Women Behind Cream Tshirts,data\subset\images\11008.jpg
3845,Men,Apparel,Topwear,Tshirts,Brown,Summer,2011.0,Casual,Wrangler Men's Wild Horse Brown T-shirt,data\subset\images\3845.jpg
3364,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Myntra Men's Brain Blue T-shirt,data\subset\images\3364.jpg
8207,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Locomotive Men Solid Langworth Red T-Shirts,data\subset\images\8207.jpg
2680,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Inkfruit Men's Indian Rule Blue T-shirt,data\subset\images\2680.jpg
2265,Women,Apparel,Topwear,Tshirts,Orange,Fall,2010.0,Sports,Nike Womens NIKE MILER SS TOP T-shirt,data\subset\images\2265.jpg
12847,Boys,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Ant Kids Boys National Champion Black Tshirts,data\subset\images\12847.jpg
7847,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Proline Men Black Round Neck T-shirt,data\subset\images\7847.jpg
30144,Women,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Flying Machine Women Printed Black T-shirt,data\subset\images\30144.jpg
5827,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,ADIDAS Men's Prt Grey T-shirt,data\subset\images\5827.jpg
4251,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Probase Men's Crack Print Ghost Buster Grey T-shirt,data\subset\images\4251.jpg
17257,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,U.S. Polo Assn. Men Printed Black Tshirt,data\subset\images\17257.jpg
19612,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,United Colors of Benetton Women Solid Blue Tshirt,data\subset\images\19612.jpg
3120,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Probase Men's Freestyler Turquoise T-shirt,data\subset\images\3120.jpg
2340,Men,Apparel,Topwear,Tshirts,Purple,Fall,2010.0,Casual,Reebok Men Plum Shiamak Purple T-shirt,data\subset\images\2340.jpg
19789,Men,Apparel,Topwear,Tshirts,Orange,Winter,2016.0,Casual,U.S. Polo Assn. Men Solid Orange Tshirt,data\subset\images\19789.jpg
2062,Men,Apparel,Topwear,Tshirts,Grey,Winter,2010.0,Casual,Lee Mens  T-shirt,data\subset\images\2062.jpg
5506,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Nike Women's Yellow Casual T-shirt,data\subset\images\5506.jpg
38645,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Nike Men White Jdi City T-Shirt,data\subset\images\38645.jpg
31236,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Puma Men Graphic White T-shirt,data\subset\images\31236.jpg
11024,Women,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Wrangler Women Purple T-shirt,data\subset\images\11024.jpg
24269,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Quiksilver Men Grey Printed T-shirt,data\subset\images\24269.jpg
25921,Women,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Femella Women Lime Green T-shirt,data\subset\images\25921.jpg
38637,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Nike Men Red Delhi T-shirt,data\subset\images\38637.jpg
5886,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Puma Men's Slogan Black T-shirt,data\subset\images\5886.jpg
32464,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,ADIDAS Men Graphic Black T-shirt,data\subset\images\32464.jpg
19999,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black TShirt,data\subset\images\19999.jpg
19110,Men,Apparel,Topwear,Tshirts,Beige,Winter,2016.0,Casual,Campbell Men Pack of 3 Solid Tshirts,data\subset\images\19110.jpg
28928,Men,Apparel,Topwear,Tshirts,Charcoal,Summer,2012.0,Casual,Mr. Men Printed Charcoal T-shirt,data\subset\images\28928.jpg
34100,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Doodle Boys Printed Blue T-shirt,data\subset\images\34100.jpg
38803,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Marvel Men Blue Printed T-shirt,data\subset\images\38803.jpg
36737,Women,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Spykar Women Cult Green T-shirt,data\subset\images\36737.jpg
7801,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Proline Men Navy Polo T-shirt,data\subset\images\7801.jpg
30302,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012.0,Casual,Myntra Men Evil Minds Off White T-shirt,data\subset\images\30302.jpg
7837,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Proline Men Purple T-shirt,data\subset\images\7837.jpg
3519,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Myntra Men's I have Multiple Personalities White T-shirt,data\subset\images\3519.jpg
5153,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Wrangler Women's Side Paisley White T-shirt,data\subset\images\5153.jpg
58734,Men,Apparel,Topwear,Tshirts,Red,Fall,2012.0,Sports,PUMA Men Red Printed T-shirt,data\subset\images\58734.jpg
9778,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,ADIDAS Men  White Polo Tshirts,data\subset\images\9778.jpg
4042,Unisex,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Rajasthan Royals Kids Authentic Replica Cricket Jersey,data\subset\images\4042.jpg
14922,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Mr. Men Men Sleep Placid Blue Tshirts,data\subset\images\14922.jpg
29352,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Probase Men Navy Blue Printed T-shirt,data\subset\images\29352.jpg
33206,Women,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Sepia Women Printed Green T-shirt,data\subset\images\33206.jpg
34403,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Back To The 70s Black T-shirt,data\subset\images\34403.jpg
2683,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Inkfruit Men's Red And Black T-shirt,data\subset\images\2683.jpg
53774,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Puma Men White T-shirt,data\subset\images\53774.jpg
52148,Women,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Femella Women Red Polo T-Shirt,data\subset\images\52148.jpg
7004,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,s.Oliver Men's What Up Cracker Blue T-shirt,data\subset\images\7004.jpg
3792,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Basics Men Navy & White Striped Polo T-shirt,data\subset\images\3792.jpg
9827,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Little Miss Women Printed White T-shirt,data\subset\images\9827.jpg
51473,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Denizen Men Red Printed T-shirt,data\subset\images\51473.jpg
5100,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Wrangler Men's Cowboy Color Yellow T-shirt,data\subset\images\5100.jpg
2974,Women,Apparel,Topwear,Tshirts,Green,Fall,2010.0,Casual,Puma Women's Heroes Green T-shirt,data\subset\images\2974.jpg
33310,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Jack & Jones Men White & Green Polo T-shirt,data\subset\images\33310.jpg
10377,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,United Colors of Benetton Men Printed White Tshirts,data\subset\images\10377.jpg
10840,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Wrangler Men Green Polo T-shirt,data\subset\images\10840.jpg
7954,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Puma Men's Knit Polo Mazarine Blue Polo T-shirt,data\subset\images\7954.jpg
10499,Women,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Flying Machine Women Aspen Yellow Tshirts,data\subset\images\10499.jpg
22631,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Sports,Nike Women Printed Pink T-shirt,data\subset\images\22631.jpg
7447,Men,Apparel,Topwear,Tshirts,Orange,Summer,2011.0,Casual,Proline Men Orange Polo T-shirt,data\subset\images\7447.jpg
23179,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Mark Taylor Men Yellow Printed T-shirt,data\subset\images\23179.jpg
17613,Boys,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Doodle Boys Catch Me Red Tshirt,data\subset\images\17613.jpg
31273,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Puma Men Calonge Graphic Green T-shirt,data\subset\images\31273.jpg
43085,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Sports,Nike Women Yellow Polo Neck T-shirt,data\subset\images\43085.jpg
11406,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,United Colors Of Benetton Men Light Winter Blue T-Shirts,data\subset\images\11406.jpg
5097,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Wrangler Men's Hand Of Quality White T-shirt,data\subset\images\5097.jpg
38586,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,Nike Women Pink Crew T-shirt,data\subset\images\38586.jpg
48257,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,The Amazing Spiderman Boys Red T-shirt,data\subset\images\48257.jpg
3529,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Myntra Men's Ear Plugs Navy Blue T-shirt,data\subset\images\3529.jpg
